antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Tokyo Ghoul √A'}),frozenset({'Death Note'}),0.14038937935391624,0.5460787736711723,0.10150132176168387,0.7229985788725722,1.3239822050068077,1.0,0.0248376616476403,1.6386963809835917,0.2846670732286654,0.17351637107776263,0.3897588280510073,0.45443580945455375
frozenset({'Fullmetal Alchemist: Brotherhood'}),frozenset({'Death Note'}),0.3510399521173126,0.5460787736711723,0.2535122283738175,0.7221748602822772,1.3224737805266593,1.0,0.061816761812008375,1.6338378405569158,0.3757416841492504,0.3938932086487045,0.3879441550581688,0.5932079964373785
frozenset({'Hyouka'}),frozenset({'Angel Beats!'}),0.14366468818062414,0.3772257967978453,0.10361281526925699,0.721212822589978,1.9118862726572086,1.0,0.04941878879860706,2.2338696097425563,0.5569738045898363,0.2483066379791218,0.5523462982625715,0.4979416838940458
frozenset({'Fate/Zero'}),frozenset({'Death Note'}),0.19987696809483432,0.5460787736711723,0.14414684024140856,0.7211778406255199,1.3206480006120611,1.0,0.034998270619069405,1.627995519965742,0.3034482841264849,0.239522612371191,0.3857476954107079,0.4925724794541818
frozenset({'Tonari no Kaibutsu-kun'}),frozenset({'Sword Art Online'}),0.17242755249638386,0.3967280163599182,0.12427885015046469,0.7207598110114742,1.81676055455985,1.0,0.05587200928277866,2.160405297766328,0.5432391239844806,0.2793557067045369,0.5371238901173251,0.5170096934531011
frozenset({'Steins;Gate'}),frozenset({'Death Note'}),0.2811611551698339,0.5460787736711723,0.2025869951951053,0.7205369286263378,1.319474338440808,1.0,0.04905085637599221,1.6242619251897592,0.3368243602223149,0.3243192888131804,0.3843357499849219,0.5457609289196539
frozenset({'Kiseijuu: Sei no Kakuritsu'}),frozenset({'Sword Art Online'}),0.16315028180956656,0.3967280163599182,0.11736246196817797,0.7193518801589728,1.8132116979264827,1.0,0.05263617429730698,2.1495671661075244,0.5359294599706769,0.2652164111812444,0.5347900657550431,0.5075889398280405
frozenset({'Hyouka'}),frozenset({'Sword Art Online'}),0.14366468818062414,0.3967280163599182,0.10319716694099457,0.7183196389306793,1.8106098115314544,1.0,0.04620136017812936,2.1416898975488685,0.522809094472741,0.2360435047155461,0.5330789947020413,0.4892201664605622
frozenset({'Tokyo Ghoul'}),frozenset({'Sword Art Online'}),0.2375845844348014,0.3967280163599182,0.17063195171829018,0.7181945416375087,1.8102944889728956,1.0,0.07637549081777592,2.140739172142232,0.5870863554155813,0.3679945498225106,0.5328716300364128,0.5741463027523727
frozenset({'Durarara!!'}),frozenset({'Death Note'}),0.258882404774968,0.5460787736711723,0.18569504713452042,0.7172949714212318,1.3135375444077584,1.0,0.04432486100996186,1.60563548731626,0.3220771672979327,0.2998630762209037,0.3771936358535209,0.5286733648398593
